year,global_market_usd_bn,china_market_usd_bn,core_industry_market_usd_bn,addressable_waste_heat_TWh
2025,5.4,2.052,1.1286,3333.3599999999997
2026,5.9994000000000005,2.2797720000000004,1.2538746000000003,3333.3599999999997
2027,6.665333400000001,2.5328266920000004,1.3930546806000004,3333.3599999999997
2028,7.4051854074,2.8139704548120004,1.5476837501466003,3333.3599999999997
2029,8.2271609876214,3.1263211752961317,1.7194766464128726,3333.3599999999997
2030,9.140375857247376,3.4733428257540027,1.9103385541647016,3333.3599999999997
2031,10.154957577401834,3.858883879412697,2.1223861336769834,3333.3599999999997
2032,11.282157868493437,4.287219990027506,2.3579709945151284,3333.3599999999997
2033,12.534477391896209,4.763101408920559,2.6197057749063077,3333.3599999999997
2034,13.925804382396688,5.291805665310742,2.910493115920908,3333.3599999999997
2035,15.471568668842721,5.879196094160234,3.2335578517881287,3333.3599999999997
2036,17.188912791084263,6.53178686061202,3.5924827733366116,3333.3599999999997
2037,19.096882110894615,7.256815202139954,3.991248361176975,3333.3599999999997
2038,21.216636025203915,8.062321689577487,4.434276929267618,3333.3599999999997
2039,23.571682624001554,8.95723939712059,4.926481668416325,3333.3599999999997
2040,26.188139395265722,9.951492970200974,5.473321133610536,3333.3599999999997
