power_kw,heat_source_temp_C,capex_usd,annual_revenue_usd,annual_opex_usd,annual_net_cash_usd,electricity_MWh,mentor_steam_value_usd_per_ton
200,90,772799.9999999999,138554.8,17735.399999999994,120819.4,1275.0,7.67
200,100,772799.9999999999,142840.0,17735.399999999994,125104.6,1275.0,7.67
200,120,772799.9999999999,151410.4,17735.399999999994,133675.0,1275.0,7.67
200,150,772799.9999999999,164266.0,17735.399999999994,146530.6,1275.0,7.67
500,90,1931999.9999999998,346387.0,44338.49999999999,302048.5,3187.5,7.67
500,100,1931999.9999999998,357100.0,44338.49999999999,312761.5,3187.5,7.67
500,120,1931999.9999999998,378526.0,44338.49999999999,334187.5,3187.5,7.67
500,150,1931999.9999999998,410664.99999999994,44338.49999999999,366326.49999999994,3187.5,7.67
1000,90,3863999.9999999995,692774.0,88676.99999999999,604097.0,6375.0,7.67
1000,100,3863999.9999999995,714200.0,88676.99999999999,625523.0,6375.0,7.67
1000,120,3863999.9999999995,757052.0,88676.99999999999,668375.0,6375.0,7.67
1000,150,3863999.9999999995,821329.9999999999,88676.99999999999,732652.9999999999,6375.0,7.67
2000,90,7727999.999999999,1385548.0,177353.99999999997,1208194.0,12750.0,7.67
2000,100,7727999.999999999,1428400.0,177353.99999999997,1251046.0,12750.0,7.67
2000,120,7727999.999999999,1514104.0,177353.99999999997,1336750.0,12750.0,7.67
2000,150,7727999.999999999,1642659.9999999998,177353.99999999997,1465305.9999999998,12750.0,7.67
5000,90,19320000.0,3463870.0,443385.0,3020485.0,31875.0,7.67
5000,100,19320000.0,3571000.0,443385.0,3127615.0,31875.0,7.67
5000,120,19320000.0,3785260.0,443385.0,3341875.0,31875.0,7.67
5000,150,19320000.0,4106649.9999999995,443385.0,3663264.9999999995,31875.0,7.67
