variable,shock_pct,npv_usd,delta_npv
electricity_price_usd_kWh,-30,399756.32907522423,-1877720.6916746758
electricity_price_usd_kWh,-15,1338616.6749125621,-938860.3458373379
electricity_price_usd_kWh,0,2277477.0207499,0.0
electricity_price_usd_kWh,15,3216337.366587239,938860.3458373388
electricity_price_usd_kWh,30,4155197.7124245767,1877720.6916746767
capex_orc_usd_per_kw,-30,3641538.5572947725,1364061.5365448724
capex_orc_usd_per_kw,-15,2959507.7890223362,682030.7682724362
capex_orc_usd_per_kw,0,2277477.0207499,0.0
capex_orc_usd_per_kw,15,1595446.2524774643,-682030.7682724358
capex_orc_usd_per_kw,30,913415.4842050252,-1364061.5365448748
annual_operating_hours,-30,456087.9498254643,-1821389.0709244357
annual_operating_hours,-15,1366782.4852876836,-910694.5354622165
annual_operating_hours,0,2277477.0207499,0.0
annual_operating_hours,15,3188171.5562121174,910694.5354622174
annual_operating_hours,30,4098866.0916743358,1821389.0709244357
discount_rate,-30,3549609.8036682657,1272132.7829183657
discount_rate,-15,2867071.3033584314,589594.2826085314
discount_rate,0,2277477.0207499,0.0
discount_rate,15,1765656.4132492808,-511820.60750061926
discount_rate,30,1319208.8990614102,-958268.1216884898
capacity_factor,-30,456087.9498254643,-1821389.0709244357
capacity_factor,-15,1366782.4852876826,-910694.5354622174
capacity_factor,0,2277477.0207499,0.0
capacity_factor,15,3188171.5562121174,910694.5354622174
capacity_factor,30,4098866.0916743358,1821389.0709244357
