case_id,industry,year,discounted_cumulative_cashflow_eur
C1_industrial_kiln_belgium,industrial_kiln,0,-1581000.0
C1_industrial_kiln_belgium,industrial_kiln,1,-1364500.0
C1_industrial_kiln_belgium,industrial_kiln,2,-1164037.037037037
C1_industrial_kiln_belgium,industrial_kiln,3,-978423.1824417011
C1_industrial_kiln_belgium,industrial_kiln,4,-806558.5022608343
C1_industrial_kiln_belgium,industrial_kiln,5,-647424.5391304023
C1_industrial_kiln_belgium,industrial_kiln,6,-500078.2769725948
C1_industrial_kiln_belgium,industrial_kiln,7,-363646.55275240267
C1_industrial_kiln_belgium,industrial_kiln,8,-237320.8821781507
C1_industrial_kiln_belgium,industrial_kiln,9,-120352.66868347296
C1_industrial_kiln_belgium,industrial_kiln,10,-12048.76729951211
C1_industrial_kiln_belgium,industrial_kiln,11,88232.62287082202
C1_industrial_kiln_belgium,industrial_kiln,12,181085.76191742768
C1_industrial_kiln_belgium,industrial_kiln,13,267060.89066428476
C1_industrial_kiln_belgium,industrial_kiln,14,346667.4913558191
C1_industrial_kiln_belgium,industrial_kiln,15,420377.30681094347
C2_cement_greece_typical_plant,cement,0,-13500000.0
C2_cement_greece_typical_plant,cement,1,-9708333.333333334
C2_cement_greece_typical_plant,cement,2,-6197530.864197532
C2_cement_greece_typical_plant,cement,3,-2946787.8372199372
C2_cement_greece_typical_plant,cement,4,63159.40998153901
C2_cement_greece_typical_plant,cement,5,2850147.6018347573
C2_cement_greece_typical_plant,cement,6,5430692.22392107
C2_cement_greece_typical_plant,cement,7,7820085.392519508
C2_cement_greece_typical_plant,cement,8,10032486.474555098
C2_cement_greece_typical_plant,cement,9,12081005.994958421
C2_cement_greece_typical_plant,cement,10,13977783.328665202
C2_cement_greece_typical_plant,cement,11,15734058.637652963
C2_cement_greece_typical_plant,cement,12,17360239.479308296
C2_cement_greece_typical_plant,cement,13,18865962.48084101
C2_cement_greece_typical_plant,cement,14,20260150.445223156
C2_cement_greece_typical_plant,cement,15,21551065.227058474
C3_steel_eaf_germany,steel_EAF,0,-9000000.0
C3_steel_eaf_germany,steel_EAF,1,-7444444.444444444
C3_steel_eaf_germany,steel_EAF,2,-6004115.226337448
C3_steel_eaf_germany,steel_EAF,3,-4670477.0614235625
C3_steel_eaf_germany,steel_EAF,4,-3435626.908725521
C3_steel_eaf_germany,steel_EAF,5,-2292247.137708816
C3_steel_eaf_germany,steel_EAF,6,-1233562.1645452005
C3_steel_eaf_germany,steel_EAF,7,-253298.30050481576
C3_steel_eaf_germany,steel_EAF,8,654353.4254585034
C3_steel_eaf_germany,steel_EAF,9,1494771.6902393545
C3_steel_eaf_germany,steel_EAF,10,2272936.750221624
C3_steel_eaf_germany,steel_EAF,11,2993459.9539089105
C3_steel_eaf_germany,steel_EAF,12,3660611.0684341756
C3_steel_eaf_germany,steel_EAF,13,4278343.581883495
C3_steel_eaf_germany,steel_EAF,14,4850318.131373606
C3_steel_eaf_germany,steel_EAF,15,5379924.195716301
